"Individual","Species","dentary","dentary.1","dentary.2","dentary.3","dentary.4","dentary.5","scapula","scapula.1","scapula.2","scapula.3","scapula.4","scapula.5","scapula.6","humerus","humerus.1","humerus.2","humerus.3","humerus.4","femur","femur.1","femur.2","femur.3","Tibia","Calcaneus","Calcaneus.1","Calcaneus.2","Calcaneus.3","Calcaneus.4"
"Thylacinus_cynocephalus_A12447","Thylacinus_cynocephalus",12.92791812,33.95913538,8.314342064,5.361360968,35.02580438,23.60376256,7.18931234,77.64900059,12.43859935,13.71329647,7.758146962,131.656745,104.6107385,23.00014999,25.45387428,15.69492431,16.06768129,148.2569495,15.98434594,5.658045516,39.78555867,149.9389142,64.59,15.49249065,28.22022026,36.80669052,22.25225048,13.61294932
"Thylacinus_cynocephalus_A3298","Thylacinus_cynocephalus",7.915167689,21.9464413,5.514854148,4.197880689,26.37553684,17.82873342,25.35484528,98.79464643,18.64143273,23.28297919,14.94697401,131.5404038,120.5499282,21.67356002,28.97352161,13.73805128,15.66398538,138.025919,18.56923417,6.750621394,34.81479428,172.8721369,87.17,55.94502756,28.22022026,31.68953178,21.65217336,8.286608745
"Thylacinus_cynocephalus_ANU-19-161","Thylacinus_cynocephalus",9.898693956,27.68228714,8.646307909,4.595397823,33.61517019,20.88196338,10.940734,66.12815938,12.43859935,13.71329647,8.391701682,131.3701725,120.5499282,15.47814442,16.58545361,11.16657472,11.25192222,147.6467776,17.94359105,5.304210128,38.91015506,164.8988066,64.59,15.49249065,28.41961236,31.6779487,22.25225048,13.61294932
"Thylacinus_cynocephalus_F106839","Thylacinus_cynocephalus",10.49511234,12.60613659,48.4633599,7.664641952,23.72349321,20.88196338,70.39120113,112.5355642,23.49978408,23.28297919,17.6725325,105.4082005,120.5499282,25.18718849,38.28075223,17.16120261,19.7817393,137.3723818,47.36878588,8.303141615,97.95283514,279.2019384,520.4068969,55.94502756,11.55452253,16.69102689,11.15606354,12.84718807
"Thylacinus_cynocephalus_F106840","Thylacinus_cynocephalus",9.729372389,16.49214429,3.085700146,6.670949496,23.07354811,20.26055669,31.42273096,43.86929969,8.525873447,11.4624411,8.777437921,118.6916289,77.10866784,6.397700415,10.18585381,4.514611226,6.035397666,147.6467776,20.37608875,9.317547527,50.49647162,208.2734968,181.22,15.49249065,9.487531468,13.51084031,2.982089857,13.61294932
"Thylacinus_cynocephalus_F106843","Thylacinus_cynocephalus",6.664193022,8.720692075,32.29508618,6.525496695,21.56540269,20.14454587,30.43863969,98.79464643,14.00621806,18.88549588,11.38509619,128.6779539,40.14357621,32.98565439,47.80256879,23.93685931,24.85807942,136.3942891,21.33651377,1.452874212,46.08895455,164.8988066,181.22,15.49249065,28.22022026,31.6779487,18.69149119,10.6257562
"Thylacinus_cynocephalus_SAMAM1960","Thylacinus_cynocephalus",6.665676424,12.96627705,8.314342064,8.383165631,21.56540269,13.4611364,37.57351662,50.22824549,9.469809469,11.01679462,9.186415864,128.0323559,104.8469178,10.55231812,15.91093224,7.36665832,8.123323896,142.9101958,26.82492962,7.548911111,44.9353552,210.1512635,185.5748891,40.40874154,17.48721207,17.48112179,11.29348961,19.7719785
"Thylacinus_cynocephalus_SAMAM95","Thylacinus_cynocephalus",12.54199654,32.83502444,7.299846628,5.001653984,36.86846741,22.91927841,30.4251634,130.2841215,23.53258806,29.27253205,17.6725325,125.7037286,127.8761321,26.48163431,36.46721682,18.18981528,18.61704951,135.7005187,24.80287097,7.673541243,46.99750072,208.970395,87.17,40.40874154,21.6058338,26.66087802,19.01691245,13.61294932
"Dasyurus_maculatus_J1876","Dasyurus_maculatus",6.247213618,8.720692075,7.575301311,2.530469181,11.44699291,12.65096772,25.35484528,44.49747555,10.14406113,16.14144345,7.127139198,112.8092225,71.51339644,9.958784811,14.48944588,8.83630405,7.659788106,133.8187264,12.69778188,3.90942711,28.98792614,108.4064897,160.26,79.05240977,31.00688331,29.92647075,18.69149119,13.61294932
"Dasyurus_maculatus_J2783","Dasyurus_maculatus",5.934775242,11.07995595,2.597631424,2.570470895,14.01174395,11.895447,15.15219501,53.56082121,11.77788053,14.10531896,8.565883305,113.2452111,119.2028207,12.60377328,16.77420698,11.0470837,8.123323896,133.0796489,12.63049453,3.461568492,24.37252616,95.09654109,115.65,79.98825385,8.125157133,9.762271913,5.84353515,12.84718807
"Dasyurus_maculatus_J8049","Dasyurus_maculatus",6.71620542,11.62492632,2.375975084,2.657956243,13.75982655,11.59185206,12.7923519,43.86929969,8.71688465,11.244309,5.636531098,116.595748,70.53752918,6.445182389,9.084837755,6.443469184,4.244037369,137.3723818,12.89572602,5.081229544,28.98792614,114.93,101.6829248,79.05240977,12.49990496,17.81259091,10.3076868,8.286608745
"Dasyurus_maculatus_JM8066","Dasyurus_maculatus",6.664193022,12.03787255,3.597339691,2.70254963,15.60807907,12.65096772,19.49965092,42.76763569,8.572223396,11.244309,7.691569867,124.0036155,108.2628898,10.32963956,14.86275282,6.628274783,7.533101653,138.025919,12.837245,5.918538929,28.31962061,126.6696067,62.74,63.11930823,18.93471799,17.48112179,12.53564919,13.61294932
"Dasyurus_maculatus_JM9725","Dasyurus_maculatus",5.326032238,8.578076039,2.326284712,2.716511955,11.24546335,10.13401084,12.7923519,44.49747555,10.74780133,13.39632965,7.364971972,125.0608058,124.4632176,11.90215281,15.91093224,9.690384173,8.252567018,132.5806509,12.48524582,3.527186818,23.95475514,85.29265229,136.47,79.05240977,24.33396013,28.91695487,16.82248582,12.84718807
"Dasyurus_maculatus_M37890","Dasyurus_maculatus",6.09440871,11.01071588,2.909714258,2.512597051,14.15857127,11.26830517,16.50567583,57.1899434,10.98216349,11.62207086,8.427004015,123.8420015,119.2028207,12.82046866,17.53449569,11.15922813,8.870903698,134.2182937,13.86629706,3.032231305,23.77337176,98.71455374,96.5,73.84988978,16.30618347,17.48112179,11.29348961,13.61294932
"Dasyurus_maculatus_S497","Dasyurus_maculatus",4.835245126,9.666786406,2.174782609,2.441002811,11.44699291,9.241402592,13.45446504,50.22824549,11.90372787,15.00602809,7.301935521,116.595748,104.8469178,10.54476379,13.05014383,9.685889436,8.323102134,135.702905,10.94282727,2.971039263,19.33854559,81.60090488,85.36,63.11930823,18.74711015,17.81259091,14.33744521,10.6257562
"Dasyurus_maculatus_SAMA-M27408","Dasyurus_maculatus",5.199184178,9.941924457,2.486533871,2.767804965,12.1472526,9.728074407,14.11739855,42.76763569,9.469809469,13.25642546,6.119366399,122.516588,70.25562488,12.00365737,14.9106195,10.00396505,7.589419716,131.9899714,11.96138699,3.257704442,28.31962061,100.8265443,166.86,63.11930823,9.487531468,9.66630652,5.780029158,13.61294932
"Dasyurus_viverrinus_JM16666","Dasyurus_viverrinus",3.279383828,5.849615503,43.5060559,2.441002811,7.883385946,7.949837588,21.51770285,50.22824549,9.549045444,11.01679462,8.565883305,132.2132543,31.1377437,11.90215281,14.62583949,11.0470837,8.424836964,131.9233581,17.39331126,2.130212177,28.35745255,100.8265443,161.83,17.67384041,7.972295169,8.060954931,5.780029158,9.399234002
"Dasyurus_viverrinus_JM19595","Dasyurus_viverrinus",5.312402022,6.830368756,4.74,2.409533391,10.59748678,11.12141018,10.940734,44.54065701,8.651688214,10.72834642,5.795831034,116.595748,104.8469178,9.02,11.94,6.68,5.8,120.6087,9.64,1.88,20.7345,71.14,64.59,63.11930823,9.487531468,13.09128808,5.314987956,13.61294932
