Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,129.7282663,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,141.081248025,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,133.06656235,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,133.8872370375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,124.731660566667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,139.4812131,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,137.9271321,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,133.19404285,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,127.60272325,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,139.1495422,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,144.074053525,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,133.5655127,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,140.54508428,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,133.2363257,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,143.58821952,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,126.53734001,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,143.477174955556,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,133.0955516,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,126.21240165,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,134.70619085,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,126.00749246,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,126.65577607,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,149.07782825,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,139.9360643,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,135.774110033333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,133.114437766667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,139.00080308,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,139.005480733333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,139.897807666667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,131.933165266667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,140.4267375125,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,129.56951635,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,127.3776365,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,133.084277783333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,132.758546716667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',136.65237517014904,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,141.081248025,6.26702,133.06656235,2.5404421592968
'25',129.27873471843844,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,133.8872370375,25.35,124.731660566667,15.953649101308818
'37',138.91773740410665,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,139.4812131,3.7675,137.9271321,1.8848933454591326
'36',136.95235070876052,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,138.91773740410665,10.22,133.19404285,3.6332113154461783
'35',134.74813911301763,"[""'36'"", ""Potorous_tridactylus""]",3.735,136.95235070876052,13.955,127.60272325,2.867695564843867
'34',136.9371911525828,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,140.54508428,6.2703,133.5655127,2.482462119572405
'33',135.06970605787322,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,143.58821952,3.03004,126.53734001,1.431409951194255
'51',138.1097577500161,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,143.477174955556,4.01746,135.06970605787322,2.531520835728458
'57',129.64330598795576,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,133.0955516,8.1525,126.21240165,3.6862380693246006
'56',126.43657424644496,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,126.00749246,4.7575,126.65577607,1.8769156706779382
'63',137.90271754703232,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,139.9360643,1.63,135.774110033333,0.937582457236418
'73',136.0235410768962,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,133.114437766667,2.11,139.00080308,0.9458614173350863
'84',139.46299422682583,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,139.897807666667,3.39,139.005480733333,2.0735131307644035
'82',135.01578087263763,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,129.56951635,1.47,140.4267375125,0.8447747787234663
'13',133.63533129336096,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,136.65237517014904,38.47,129.7282663,18.85317549249199
'43',137.3520809907778,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,144.074053525,0.47552,136.9371911525828,0.3814281812365404
'50',137.53318848024833,"[""Dendrolagus_bennettianus"", ""'51'""]",8.4182,133.2363257,1.3707,138.1097577500161,1.2483443330253245
'48',127.78395714394884,"[""'56'"", ""Wallabia_bicolor""]",1.0975,126.43657424644496,5.855,134.70619085,0.877286130079979
'47',140.7758740850728,"[""'63'"", ""Osphranter_rufus""]",0.87,137.90271754703232,2.5,149.07782825,0.5738020681594668
'49',137.53318848024833,"[""'50'"", ""'43'""]",0.0,137.53318848024833,1.67238,137.3520809907778,0.0
'68',130.18239702528072,"[""'47'"", ""'48'""]",4.39266,140.7758740850728,1.03766,127.78395714394884,0.5598536110049303
'60',134.44968290421934,"[""'57'"", ""'49'""]",0.78906,129.64330598795576,0.52336,137.53318848024833,0.27547491840216737
'72',130.55657753342837,"[""'68'"", ""'73'""]",0.47734,130.18239702528072,5.26,136.0235410768962,0.34408214139497456
'87',131.98950161800562,"[""'84'"", ""'72'""]",4.935,139.46299422682583,0.955,130.55657753342837,0.6828401772562532
'83',132.00429233430657,"[""'87'"", ""Setonix_brachyurus""]",0.46375,131.98950161800562,8.78875,131.933165266667,0.3962771930606604
'80',132.00429233430657,"[""'83'"", ""'82'""]",0.0,132.00429233430657,7.31875,135.01578087263763,0.0
'79',133.41289176032913,"[""'80'"", ""'60'""]",0.5275,132.00429233430657,0.37469,134.44968290421934,0.2012291607697466
'94',132.79820693333818,"[""Dorcopsulus_vanheurni"", ""'79'""]",10.2,127.3776365,0.88375,133.41289176032913,0.7692983432682398
'92',134.97335100283541,"[""Lagostrophus_fasciatus"", ""'94'""]",18.2,139.1495422,8.0,132.79820693333818,5.42016323037356
'78',135.02038231810465,"[""'35'"", ""'92'""]",7.355,134.74813911301763,3.11,134.97335100283541,2.60154149949116
'98',134.47014273311305,"[""Hypsiprymnodon_moschatus"", ""'78'""]",32.62,133.084277783333,11.31,135.02038231810465,8.888247451222306
'97',132.1153039365753,"[""'98'"", ""'25'""]",12.68,134.47014273311305,19.95,129.27873471843844,8.42162940406755
'77',132.5980295854871,"[""'97'"", ""Pseudocheirus_peregrinus""]",2.755,132.1153039365753,48.055,132.758546716667,3.1281129878562703
Node 69,132.9292086025093,"[""'77'"", ""'13'""]",12.71664,132.5980295854871,22.30164,133.63533129336096,6.794809658851661
