Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,6.95714617875,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,23.34287584925,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,6.184629666,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,10.268055209375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,15.0872114366667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,22.284448575,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,15.1189154833333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,17.9740470625,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,28.28334439,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,6.962766544,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,8.182425578,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,7.238751189,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,14.795954273,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,6.3603559475,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,29.776491678,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,10.8394774722,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,28.2212203066667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,7.1764255395,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,17.29121974,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,8.0349746795,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,27.927570518,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,23.882930121,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,24.096853325,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,7.531326089,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,11.02707148,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,14.2550184466667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,9.7817482696,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,7.776529625,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,8.18613017733333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,15.9711528666667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,23.9761698825,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,10.6422224525,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,10.9730535043333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,10.1466204155,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,12.461366972,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',14.517496965993505,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,23.34287584925,6.26702,6.184629666,2.93337843294716
'25',12.01783899610811,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,10.268055209375,25.35,15.0872114366667,11.570450020271405
'37',18.55267717113813,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,22.284448575,3.7675,15.1189154833333,1.9688090317102258
'36',18.722813197059665,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,18.55267717113813,10.22,17.9740470625,4.051178218988209
'35',20.793285261008805,"[""'36'"", ""Potorous_tridactylus""]",3.735,18.722813197059665,13.955,28.28334439,2.798058014616417
'34',11.007607757961445,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,14.795954273,6.2703,7.238751189,3.4560541527522335
'33',20.265630356381184,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,29.776491678,3.03004,10.8394774722,1.7373916462711096
'51',23.19913658274376,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,28.2212203066667,4.01746,20.265630356381184,2.426021917839081
'57',12.463298676326756,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,7.1764255395,8.1525,17.29121974,5.240821582493971
'56',26.019384866475,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,27.927570518,4.7575,23.882930121,2.4811849665990477
'63',9.182700577886958,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,7.531326089,1.63,11.02707148,0.7762805193549542
'73',12.077542892806209,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,14.2550184466667,2.11,9.7817482696,0.9132770694884174
'84',8.019729740832492,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,8.18613017733333,3.39,7.776529625,1.9909908063611208
'82',17.272430407826914,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,10.6422224525,1.47,23.9761698825,0.8218209770191264
'13',11.347703954884935,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,14.517496965993505,38.47,6.95714617875,20.272378116861226
'43',10.920195349690703,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,8.182425578,0.47552,11.007607757961445,0.3668354068954778
'50',20.845216981826866,"[""Dendrolagus_bennettianus"", ""'51'""]",8.4182,6.3603559475,1.3707,23.19913658274376,1.0527581557209058
'48',23.029757242112364,"[""'56'"", ""Wallabia_bicolor""]",1.0975,26.019384866475,5.855,8.0349746795,0.8785564039354536
'47',12.973522347500712,"[""'63'"", ""Osphranter_rufus""]",0.87,9.182700577886958,2.5,24.096853325,0.5680860678383906
'49',20.845216981826866,"[""'50'"", ""'43'""]",0.0,20.845216981826866,1.67238,10.920195349690703,0.0
'68',20.990845718027504,"[""'47'"", ""'48'""]",4.39266,12.973522347500712,1.03766,23.029757242112364,0.7617166624771536
'60',17.501200508302087,"[""'57'"", ""'49'""]",0.78906,12.463298676326756,0.52336,20.845216981826866,0.30563793800645805
'72',20.28954115304323,"[""'68'"", ""'73'""]",0.47734,20.990845718027504,5.26,12.077542892806209,0.4677216435151727
'87',18.3609874233706,"[""'84'"", ""'72'""]",4.935,8.019729740832492,0.955,20.28954115304323,1.0065389873988575
'83',18.347843574501887,"[""'87'"", ""Setonix_brachyurus""]",0.46375,18.3609874233706,8.78875,15.9711528666667,0.5031253056354086
'80',18.34784357450189,"[""'83'"", ""'82'""]",0.0,18.347843574501887,7.31875,17.272430407826914,1.274926715508706e-29
'79',17.778316815396607,"[""'80'"", ""'60'""]",0.5275,18.34784357450189,0.37469,17.501200508302087,0.2815841205094772
'94',17.356696167619507,"[""Dorcopsulus_vanheurni"", ""'79'""]",10.2,10.9730535043333,0.88375,17.778316815396607,0.7356539980613348
'92',14.556858953823598,"[""Lagostrophus_fasciatus"", ""'94'""]",18.2,6.962766544,8.0,17.356696167619507,6.924043135365113
