Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,15.10862416975,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,18.6952248835,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,6.9341657405,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,23.86341674375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,18.0543353266667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,12.8475873775,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,18.9032514433333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,16.5406086775,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,27.22409091,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,6.793114416,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,16.75100680625,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,7.0767729825,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,18.9934637102,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,15.6991833475,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,9.3641986154,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,27.983046685,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,24.3742935622222,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,8.4379573435,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,19.521211595,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,9.7979584705,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,28.868796174,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,28.314386271,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,30.09512084,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,8.048010119,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,16.0259880333333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,10.1404957433333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,7.1443518718,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,20.5674511723333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,6.899979387,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,10.670651789,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,23.146152933375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,19.424529845,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,11.7287128506667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,19.0853776766667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,21.5811131966667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',12.839490727898703,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,18.6952248835,6.26702,6.9341657405,2.951404933092066
'25',20.896844073698613,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,23.86341674375,25.35,18.0543353266667,11.67001710435076
'37',15.881915704613084,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,12.8475873775,3.7675,18.9032514433333,1.7125631045500778
'36',16.29605403359541,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,15.881915704613084,10.22,16.5406086775,4.557710179193858
'35',18.407804737859493,"[""'36'"", ""Potorous_tridactylus""]",3.735,16.29605403359541,13.955,27.22409091,3.2911339344739488
'34',13.337391410751097,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,18.9934637102,6.2703,7.0767729825,2.277279618556952
'33',18.682019495043097,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,9.3641986154,3.03004,27.983046685,1.2441538887036765
'51',20.650494361100236,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,24.3742935622222,4.01746,18.682019495043097,1.9945537276270646
'57',13.970445797044906,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,8.4379573435,8.1525,19.521211595,4.194983126726108
'56',28.698654967062858,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,28.868796174,4.7575,28.314386271,2.816254612428616
'63',12.046494284176932,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,8.048010119,1.63,16.0259880333333,0.799005545646582
'73',8.5170865467363,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,10.1404957433333,2.11,7.1443518718,1.053631992618287
'84',13.771685876628833,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,6.899979387,3.39,20.5674511723333,1.7720996268010574
'82',21.293481429542908,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,19.424529845,1.47,23.146152933375,0.6207264396102807
'13',14.197290751265728,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,12.839490727898703,38.47,15.10862416975,15.78863225768697
'43',13.4871400716301,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,16.75100680625,0.47552,13.337391410751097,0.4247953725366455
'50',19.80086152339832,"[""Dendrolagus_bennettianus"", ""'51'""]",8.4182,15.6991833475,1.3707,20.650494361100236,1.1632007659509775
'48',25.751208147703675,"[""'56'"", ""Wallabia_bicolor""]",1.0975,28.698654967062858,5.855,9.7979584705,0.9283871049696759
'47',16.729333647275105,"[""'63'"", ""Osphranter_rufus""]",0.87,12.046494284176932,2.5,30.09512084,0.4843953622631023
'49',19.80086152339832,"[""'50'"", ""'43'""]",0.0,19.80086152339832,1.67238,13.4871400716301,0.0
'68',24.227757485972738,"[""'47'"", ""'48'""]",4.39266,16.729333647275105,1.03766,25.751208147703675,1.015292696309851
'60',17.431102719150527,"[""'57'"", ""'49'""]",0.78906,13.970445797044906,0.52336,19.80086152339832,0.3367536427992827
'72',22.965322538079686,"[""'68'"", ""'73'""]",0.47734,24.227757485972738,5.26,8.5170865467363,0.5755435600793725
'87',21.40279429911438,"[""'84'"", ""'72'""]",4.935,13.771685876628833,0.955,22.965322538079686,0.8867871425575377
'83',20.77617921905626,"[""'87'"", ""Setonix_brachyurus""]",0.46375,21.40279429911438,8.78875,10.670651789,0.4202779680045387
'80',20.77617921905626,"[""'83'"", ""'82'""]",0.0,20.77617921905626,7.31875,21.293481429542908,0.0
'79',18.831762147521648,"[""'80'"", ""'60'""]",0.5275,20.77617921905626,0.37469,17.431102719150527,0.20646292714931797
