Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,29.06417012975,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,2.6113274985,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,50.8480015,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,7.746789693625,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,2.16195523066667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,47.50567491,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,26.8453193463333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,9.8179042915,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,25.5406786055,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,50.16804686,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,38.313782245,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,24.072735455,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,35.057647858,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,17.821716138,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,7.8551834886,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,25.539689297,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,46.7094372631111,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,45.9847079,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,7.145827227,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,42.887547399,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,54.39368776,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,61.29185108,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,39.2342252395,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,27.53667995,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,3.52049425166667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,25.8200639736667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,36.996689762,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,2.208695083,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,61.30400774,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,2.33523006333333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,21.954481644875,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,5.165,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,19.9944533,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,22.6474667911667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,15.9336066195,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',26.851323206665533,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,2.6113274985,6.26702,50.8480015,2.8368815598072716
'25',4.7096960154124226,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,7.746789693625,25.35,2.16195523066667,14.599553904434316
'37',37.12488638171254,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,47.50567491,3.7675,26.8453193463333,2.393375108825346
'36',26.3711809608365,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,37.12488638171254,10.22,9.8179042915,3.7356400019074805
'35',26.07876626522994,"[""'36'"", ""Potorous_tridactylus""]",3.735,26.3711809608365,13.955,25.5406786055,3.544176392175583
'34',29.37072784450023,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,35.057647858,6.2703,24.072735455,2.8892505075050314
'33',16.780742288279225,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,7.8551834886,3.03004,25.539689297,1.2896345152152466
'51',27.53370485149758,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,46.7094372631111,4.01746,16.780742288279225,2.282689497458189
'57',26.254001598219087,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,45.9847079,8.1525,7.145827227,4.22514655383329
'56',57.853032743654666,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,54.39368776,4.7575,61.29185108,3.0838363810753315
'63',15.549741828917899,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,27.53667995,1.63,3.52049425166667,0.7615443562436119
'73',31.177374974743255,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,25.8200639736667,2.11,36.996689762,0.8771877725893215
'84',31.588353214789414,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,61.30400774,3.39,2.208695083,1.585043910088472
'82',13.686081098330426,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,5.165,1.47,21.954481644875,0.6560215759174743
'13',27.98261928886718,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,26.851323206665533,38.47,29.06417012975,15.728394946633461
'43',30.02043329544449,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,38.313782245,0.47552,29.37072784450023,0.47007361766420114
