Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,18.29433780125,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,8.18035040175,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,11.24018228,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,29.26828063375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,8.21170865666667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,15.5887564825,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,20.6347583366667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,15.724020729,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,30.399948145,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,12.719261205,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,12.388027138,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,16.33268119,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,25.485705742,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,13.140001445,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,26.910517274,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,20.3109087073,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,37.6843483366667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,14.302312629,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,21.643635505,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,12.664366338,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,25.459732846,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,30.849544143,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,41.175280135,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,17.21474454,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,19.3100141566667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,27.7404369533333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,19.360604918,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,7.622552401,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,24.76571627,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,11.4454080426667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,16.94715042625,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,19.89831491,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,21.09674827,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,12.96370235,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,34.36197707,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',9.833497935538169,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,8.18035040175,6.26702,11.24018228,3.319144852010285
'25',17.981897499519118,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,29.26828063375,25.35,8.21170865666667,12.888643701147995
'37',18.15524398253947,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,15.5887564825,3.7675,20.6347583366667,1.9611391740571524
'36',17.20204013774695,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,18.15524398253947,10.22,15.724020729,3.639151946643931
'35',20.06218374421763,"[""'36'"", ""Potorous_tridactylus""]",3.735,17.20204013774695,13.955,30.399948145,2.971813499426141
'34',20.919176214792145,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,25.485705742,6.2703,16.33268119,2.823275166034738
'33',23.638028012343074,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,26.910517274,3.03004,20.3109087073,1.375820823688958
'51',28.744373648434745,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,37.6843483366667,4.01746,23.638028012343074,3.2031148709035664
'57',17.628485744422516,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,14.302312629,8.1525,21.643635505,3.39470067316037
'56',28.41552665732805,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,25.459732846,4.7575,30.849544143,2.7526666376790128
'63',18.280383949109044,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,17.21474454,1.63,19.3100141566667,0.7273962096374221
'73',23.475318585729237,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,27.7404369533333,2.11,19.360604918,0.8997500999362074
'84',16.293494146069676,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,24.76571627,3.39,7.622552401,2.073052824280685
'82',18.43393220727677,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,19.89831491,1.47,16.94715042625,0.6628915969829463
'13',13.658640774978398,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,9.833497935538169,38.47,18.29433780125,18.518330409075375
'43',20.379072683337316,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,12.388027138,0.47552,20.919176214792145,0.49112585623995136
'50',26.595016497273914,"[""Dendrolagus_bennettianus"", ""'51'""]",8.4182,13.140001445,1.3707,28.744373648434745,1.053650502170052
'48',25.778924667244745,"[""'56'"", ""Wallabia_bicolor""]",1.0975,28.41552665732805,5.855,12.664366338,0.9017423228652409
'47',24.244024193986984,"[""'63'"", ""Osphranter_rufus""]",0.87,18.280383949109044,2.5,41.175280135,0.6489836394427304
'49',26.59501649727391,"[""'50'"", ""'43'""]",0.0,26.595016497273914,1.67238,20.379072683337316,1.274926715508706e-29
'68',25.537910599591488,"[""'47'"", ""'48'""]",4.39266,24.244024193986984,1.03766,25.778924667244745,0.9005015699115799
'60',22.971671858898116,"[""'57'"", ""'49'""]",0.78906,17.628485744422516,0.52336,26.59501649727391,0.3235565609696682
'72',25.380059244467603,"[""'68'"", ""'73'""]",0.47734,25.537910599591488,5.26,23.475318585729237,0.5146190014141448
'87',23.828369899116627,"[""'84'"", ""'72'""]",4.935,16.293494146069676,0.955,25.380059244467603,0.7582946704778513
'83',23.251802479697307,"[""'87'"", ""Setonix_brachyurus""]",0.46375,23.828369899116627,8.78875,11.4454080426667,0.4509591035897928
'80',23.251802479697307,"[""'83'"", ""'82'""]",0.0,23.251802479697307,7.31875,18.43393220727677,0.0
'79',23.12820653363272,"[""'80'"", ""'60'""]",0.5275,23.251802479697307,0.37469,22.971671858898116,0.22295232086389313
'94',22.985934418891908,"[""Dorcopsulus_vanheurni"", ""'79'""]",10.2,21.09674827,0.88375,23.12820653363272,0.5556245324190877
'92',19.921986901753044,"[""Lagostrophus_fasciatus"", ""'94'""]",18.2,12.719261205,8.0,22.985934418891908,4.1317941041786606
'78',20.059138626460882,"[""'35'"", ""'92'""]",7.355,20.06218374421763,3.11,19.921986901753044,2.429468268869977
'98',17.99343711762702,"[""Hypsiprymnodon_moschatus"", ""'78'""]",32.62,12.96370235,11.31,20.059138626460882,10.691950402658886
'97',18.008428707898535,"[""'98'"", ""'25'""]",12.68,17.99343711762702,19.95,17.981897499519118,7.8809806033991086
'77',18.975176080706134,"[""'97'"", ""Pseudocheirus_peregrinus""]",2.755,18.008428707898535,48.055,34.36197707,2.5647356844237854
Node 69,17.335924204408137,"[""'77'"", ""'13'""]",12.71664,18.975176080706134,22.30164,13.658640774978398,6.583378952067448
