Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,5.203573637875,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,3.6848707835,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,2.133938201,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,2.50787140475,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,6.02108473066667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,6.985596283,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,3.48955743833333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,2.56176779875,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,2.412657955,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,5.849826114,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,3.09153251725,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,8.068945361,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,4.784581735,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,2.364801092,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,6.0210040008,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,5.4911098997,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,8.09362308888889,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,6.9108733775,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,4.55990821325,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,4.0659841255,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,2.9438463304,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,7.8236425899,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,1.650214133,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,6.840348457,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,7.34797739566667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,6.31319837,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,3.6487602108,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,2.61924895366667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,2.35681943733333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,2.82425383833333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,4.387242731125,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,4.1197351955,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,5.61259858566667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,5.303094901,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,3.00426701983333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',2.881515064286576,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,3.6848707835,6.26702,2.133938201,2.401830824728101
'25',4.503207476696455,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,2.50787140475,25.35,6.02108473066667,10.518550165032147
'37',5.357672143924934,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,6.985596283,3.7675,3.48955743833333,1.6925084282243337
'36',4.316565122765505,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,5.357672143924934,10.22,2.56176779875,4.574352786029222
'35',4.027503047662631,"[""'36'"", ""Potorous_tridactylus""]",3.735,4.316565122765505,13.955,2.412657955,2.926352367334449
'34',6.144383243262054,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,4.784581735,6.2703,8.068945361,2.679372229010324
'33',5.63793031456368,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,6.0210040008,3.03004,5.4911098997,1.3435400934710129
'51',6.132063620950407,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,8.09362308888889,4.01746,5.63793031456368,2.586348607407984
'57',5.503351005060159,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,6.9108733775,8.1525,4.55990821325,3.9111527748904273
'56',5.327281083500434,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,2.9438463304,4.7575,7.8236425899,3.3499521663798952
'63',7.125321924097324,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,6.840348457,1.63,7.34797739566667,0.8431972781312245
'73',4.941831657301696,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,6.31319837,2.11,3.6487602108,0.8549083925769579
'84',2.468853336172425,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,2.35681943733333,3.39,2.61924895366667,1.7727708811501834
'82',4.183280023913955,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,4.1197351955,1.47,4.387242731125,0.8390238254488618
'13',3.7984216990114494,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,2.881515064286576,38.47,5.203573637875,17.232531614616175
'43',5.982306992311111,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,3.09153251725,0.47552,6.144383243262054,0.6750748758968751
'50',5.52944155853265,"[""Dendrolagus_bennettianus"", ""'51'""]",8.4182,2.364801092,1.3707,6.132063620950407,1.1386513370034688
'48',5.173760663615176,"[""'56'"", ""Wallabia_bicolor""]",1.0975,5.327281083500434,5.855,4.0659841255,1.0028469690322772
'47',5.666475413393604,"[""'63'"", ""Osphranter_rufus""]",0.87,7.125321924097324,2.5,1.650214133,0.637394636673062
'49',5.529441558532649,"[""'50'"", ""'43'""]",0.0,5.52944155853265,1.67238,5.982306992311111,7.968291971929413e-31
'68',5.278150305936009,"[""'47'"", ""'48'""]",4.39266,5.666475413393604,1.03766,5.173760663615176,0.9847793104809978
'60',5.466267886840079,"[""'57'"", ""'49'""]",0.78906,5.503351005060159,0.52336,5.529441558532649,0.31054469598755996
'72',5.306445934289454,"[""'68'"", ""'73'""]",0.47734,5.278150305936009,5.26,4.941831657301696,0.4191275455176856
'87',4.930459776475117,"[""'84'"", ""'72'""]",4.935,2.468853336172425,0.955,5.306445934289454,0.7973134913168237
