Nodes,Vals,Children,Child1,Child1Val,Child2,Child2Val,BridgeVar
Thylacinus_cynocephalus,162.353370125,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_viverrinus,132.398983025,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dasyurus_maculatus,106.67,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Spilocuscus_maculatus,230.888550925,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Trichosurus_vulpecula,220.129818433333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_tropica,150.07364155,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Bettongia_penicillata,150.96,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Aepyprymnus_rufescens,82.5375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Potorous_tridactylus,202.755,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagostrophus_fasciatus,140.61,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_brachyotis,94.0614892975,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_penicillata,172.115,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Petrogale_persephone,314.09675876,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_bennettianus,148.37744455,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_goodfellowi,220.93193894,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_matschiei,289.08880212,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dendrolagus_lumholtzi,365.546096155556,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_stigmatica,259.65364155,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Thylogale_thetis,172.0375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Wallabia_bicolor,436.32687885,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_irma,296.80568148,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Notamacropus_agilis,366.43211069,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_rufus,413.0002679,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_robustus,168.05744455,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Osphranter_antilopinus,210.53,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_fuliginosus,213.858296366667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Macropus_giganteus,187.628,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_conspicillatus,90.85198573,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Lagorchestes_hirsutus,98.9727060666667,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Setonix_brachyurus,83.06546821,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_unguifera,127.9906111375,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Onychogalea_fraenata,340.33344845,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Dorcopsulus_vanheurni,287.356638833333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Hypsiprymnodon_moschatus,82.4375824683333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
Pseudocheirus_peregrinus,283.025052333333,"[""NA"", ""NA""]",0.0,0.0,0.0,0.0,0.0
'14',119.41823079194423,"[""Dasyurus_viverrinus"", ""Dasyurus_maculatus""]",6.26702,132.398983025,6.26702,106.67,3.5427585784968736
'25',225.17817780685345,"[""Spilocuscus_maculatus"", ""Trichosurus_vulpecula""]",25.35,230.888550925,25.35,220.129818433333,14.628631235242647
'37',150.5357241178077,"[""Bettongia_tropica"", ""Bettongia_penicillata""]",3.7675,150.07364155,3.7675,150.96,1.9893220954044368
'36',123.78024073391745,"[""'37'"", ""Aepyprymnus_rufescens""]",6.4525,150.5357241178077,10.22,82.5375,4.257919153867944
'35',140.2542526736321,"[""'36'"", ""Potorous_tridactylus""]",3.735,123.78024073391745,13.955,202.755,2.4231280485058804
'34',243.35633658882108,"[""Petrogale_persephone"", ""Petrogale_penicillata""]",6.2703,314.09675876,6.2703,172.115,3.895933519608981
'33',254.82907752751765,"[""Dendrolagus_goodfellowi"", ""Dendrolagus_matschiei""]",3.03004,220.93193894,3.03004,289.08880212,1.7909936136347726
'51',295.1126978424003,"[""Dendrolagus_lumholtzi"", ""'33'""]",7.0475,365.546096155556,4.01746,254.82907752751765,2.15838514477597
'57',216.19925628693665,"[""Thylogale_stigmatica"", ""Thylogale_thetis""]",8.1525,259.65364155,8.1525,172.0375,3.640942063509232
'56',331.30915753082263,"[""Notamacropus_irma"", ""Notamacropus_agilis""]",4.7575,296.80568148,4.7575,366.43211069,2.0737349752551952
'63',189.3319791738908,"[""Osphranter_robustus"", ""Osphranter_antilopinus""]",1.63,168.05744455,1.63,210.53,0.9486000337772871
'73',200.84271686729954,"[""Macropus_fuliginosus"", ""Macropus_giganteus""]",2.11,213.858296366667,2.11,187.628,0.7890860568814082
'84',94.94518499275526,"[""Lagorchestes_hirsutus"", ""Lagorchestes_conspicillatus""]",3.39,98.9727060666667,3.39,90.85198573,1.505674995637419
'82',234.2638033958909,"[""Onychogalea_fraenata"", ""Onychogalea_unguifera""]",1.47,340.33344845,1.47,127.9906111375,0.8071116495678232
'13',139.29610082878978,"[""'14'"", ""Thylacinus_cynocephalus""]",32.20298,119.41823079194423,38.47,162.353370125,19.384915668052535
'43',233.7265965532329,"[""Petrogale_brachyotis"", ""'34'""]",6.74582,94.0614892975,0.47552,243.35633658882108,0.44077363909693024
'50',274.5978549470352,"[""Dendrolagus_bennettianus"", ""'51'""]",8.4182,148.37744455,1.3707,295.1126978424003,1.3456843198261266
'48',347.9717135521774,"[""'56'"", ""Wallabia_bicolor""]",1.0975,331.30915753082263,5.855,436.32687885,0.7775017856164854
'47',247.13699042710866,"[""'63'"", ""Osphranter_rufus""]",0.87,189.3319791738908,2.5,413.0002679,0.748154016593398
'49',274.59785494703516,"[""'50'"", ""'43'""]",0.0,274.5978549470352,1.67238,233.7265965532329,3.2638123917022874e-27
'68',328.78457354284814,"[""'47'"", ""'48'""]",4.39266,247.13699042710866,1.03766,347.9717135521774,0.6462489112796446
'60',251.4070175878023,"[""'57'"", ""'49'""]",0.78906,216.19925628693665,0.52336,274.59785494703516,0.327585301205114
'72',318.0181281793079,"[""'68'"", ""'73'""]",0.47734,328.78457354284814,5.26,200.84271686729954,0.5566693733978935
'87',281.75043940379675,"[""'84'"", ""'72'""]",4.935,94.94518499275526,0.955,318.0181281793079,0.8411591594683255
'83',271.87886667939335,"[""'87'"", ""Setonix_brachyurus""]",0.46375,281.75043940379675,8.78875,83.06546821,0.3712554668663251
'80',271.87886667939335,"[""'83'"", ""'82'""]",0.0,271.87886667939335,7.31875,234.2638033958909,0.0
'79',259.86609419022943,"[""'80'"", ""'60'""]",0.5275,271.87886667939335,0.37469,251.4070175878023,0.2368288530390812
'94',262.134643810815,"[""Dorcopsulus_vanheurni"", ""'79'""]",10.2,287.356638833333,0.88375,259.86609419022943,0.7920963798028806
'92',224.9341604416761,"[""Lagostrophus_fasciatus"", ""'94'""]",18.2,140.61,8.0,262.134643810815,6.3532574555447665
'78',199.8011391347738,"[""'35'"", ""'92'""]",7.355,140.2542526736321,3.11,224.9341604416761,2.313924494005585
'98',169.36848607027284,"[""Hypsiprymnodon_moschatus"", ""'78'""]",32.62,82.4375824683333,11.31,199.8011391347738,8.063969801683571
'97',191.05898702298643,"[""'98'"", ""'25'""]",12.68,169.36848607027284,19.95,225.17817780685345,7.490799119410514
'77',196.08697520870248,"[""'97'"", ""Pseudocheirus_peregrinus""]",2.755,191.05898702298643,48.055,283.025052333333,3.2309545207570705
Node 69,174.95309572313676,"[""'77'"", ""'13'""]",12.71664,196.08697520870248,22.30164,139.29610082878978,8.266804016025628
