Species,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25
Aepyprymnus_rufescens,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159
Bettongia_penicillata,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393
Bettongia_tropica,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444,20.09921444
Dasyurus_maculatus,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616,24.37252616
Dasyurus_viverrinus,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514
Dendrolagus_bennettianus,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785,87.00514785
Dendrolagus_goodfellowi,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414,37.93667414
Dendrolagus_lumholtzi,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865
Dendrolagus_matschiei,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486,37.53032486
Dorcopsulus_vanheurni,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938,21.49186938
Hypsiprymnodon_moschatus,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393
Lagorchestes_conspicillatus,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255,28.35745255
Lagorchestes_hirsutus,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635,20.68340635
Lagostrophus_fasciatus,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159,24.75628159
Macropus_fuliginosus,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921
Macropus_giganteus,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514,97.95283514
Notamacropus_agilis,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921
Notamacropus_irma,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532,42.34352532
Onychogalea_fraenata,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602,28.03383602
Onychogalea_unguifera,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921
Osphranter_antilopinus,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865,84.77587865
Osphranter_robustus,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393,14.59292393
Osphranter_rufus,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076,66.27223076
Petrogale_brachyotis,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614,28.98792614
Petrogale_penicillata,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951,39.53132951
Petrogale_persephone,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523,39.96425523
Potorous_tridactylus,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699,21.19025699
Pseudocheirus_peregrinus,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921,13.66267921
Setonix_brachyurus,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813,15.91719813
Spilocuscus_maculatus,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123,28.93969123
Thylacinus_cynocephalus,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072,46.99750072
Thylogale_stigmatica,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447,29.94315447
Thylogale_thetis,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181,29.63530181
Trichosurus_vulpecula,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774,25.37771774
Wallabia_bicolor,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552,44.9353552
'14',62.24023702987149,60.066754070225905,61.176447927087075,65.41326581717175,61.44151089908999,63.76086573329702,58.67672529812848,63.49806538853847,62.45315984681136,61.08595213811672,61.8882458578362,59.02430731783494,60.52021255443559,62.36225510240985,62.92067727309949,62.132690413903624,60.47365532021347,62.43782834808461,61.11994592830354,61.21304817673837,59.95589359173275,59.92171909464882,60.49876280383399,61.76710470246123,60.8842914572785
'25',24.098577392740385,22.044264917556543,28.378248601676052,23.68785421486943,27.856896201763675,27.90207997155636,25.824618619679235,19.776111788101687,33.57778816372905,29.433703804432326,29.31379815705848,27.452553250917713,24.974201386248314,23.99691801943928,28.83492686511853,26.39754493519644,25.388741503213538,26.799423616865734,22.907117783795318,23.221388899993258,29.384252717428172,27.47109541247617,25.17425501340873,25.2407498439111,26.764631336375007
'37',19.42523872406387,16.570027373517615,17.416180140984935,18.589699581103737,18.4202201603053,17.979337347469215,16.36436168741731,17.451059118989587,17.02502854214989,16.658316153984988,17.080279572650287,17.44756821957475,16.30037175949024,18.79759588546377,18.18166772585964,19.15193377604832,18.249230609237312,17.517671876044343,18.24488088574579,14.380419720142228,17.831704627488932,15.76957299602864,16.13146578199602,18.2684233515449,20.19206432733919
'36',20.831188039809323,20.482347752103173,21.04899511673263,16.939453170502716,18.99380606962282,21.40911640527445,23.503385066198824,18.442019631413885,19.916925175420328,17.353338743092852,20.00059585684989,18.875257024504318,18.348291283369722,24.455844392650146,22.53394368731483,18.64844882648191,18.07242926232114,15.206235407567128,22.656756939536056,19.62549776397037,22.986471251772308,20.616540722056378,19.278970092157532,18.91753724394776,19.605087228376785
'35',20.120064191518782,18.909265629377824,21.691803827997862,18.523027825688096,19.084528105235457,22.34748888334496,23.161619763021246,21.64349533586054,22.692358184989185,19.18418075904915,23.96405778044804,15.989530684647097,18.602482130792293,23.94470049830403,21.415115268635653,21.377455728116743,22.192595204483204,11.075688583451836,22.081469469704256,18.131178141475797,22.693421230923587,20.413659889474342,21.189090688404345,20.61405110654406,21.174160332297184
'34',43.85761501953162,40.536912680593325,39.0364595791805,39.69091485773705,42.32462610651987,40.66416975872534,40.663223195509495,39.15648733856413,40.57778204058874,38.148735817657695,42.87333385842141,40.87690632225944,37.55127686959311,37.85452063737489,37.006359504834094,41.01708364696881,36.909551933295866,41.02317439773362,38.7208314423949,40.978030315360975,39.05593499197096,39.128939656941625,38.939247897371,41.609491155452424,39.45432589291005
'33',37.75881643686309,37.214415379102284,37.57227590166978,40.34874251465395,38.29672590005503,38.3484686960837,37.34518162754249,40.750833879507084,39.769306282967754,37.079782608088564,36.709456656369035,37.491621494966274,36.81420476010098,38.135542734798726,37.7885998528454,36.98418532626427,39.37492532524395,38.76974561392274,37.72867052905306,36.15326805814313,38.03253438944573,39.06956810735864,39.18214964184609,35.31761800164736,36.07943939207404
'51',54.84787447639667,53.64775827380553,56.99110081415832,56.42842328810351,56.07742963159,52.93019419240273,57.020377280673166,55.926156977656376,57.07992830324376,54.28204598768553,54.1438711419169,54.0777150442879,55.5722757885493,55.40984667081177,55.87043892921877,55.65959326145069,55.59378657292915,54.70633535329377,56.27574829258888,54.232077678766046,55.45182225733835,55.4603279718476,54.45937350449784,52.99333668850662,55.74053700651785
'57',28.273207233890766,32.83520942255666,26.93859552427912,30.610798588259662,30.7812889502223,27.01881814845634,29.57999660197415,32.44039188067012,28.304453785627125,36.20182064738791,29.28425787083389,30.5903149758848,27.93236640953767,31.07679017119123,30.23773296121789,30.70623381164571,30.05646952821202,28.84665948718077,31.109621672615454,27.77943175781131,28.88106483734525,31.513343003939656,29.573996976520704,30.248048301624795,34.333079528870826
'56',27.05951966129929,29.547409627717506,29.92810411857565,27.707843581540576,29.78927064293669,29.238546935455982,27.11927103294543,27.464893983108663,25.506788542638727,26.884813621216907,29.97761480040258,27.43820892070361,26.328302111706297,26.447689284917654,26.977668799006256,26.060516689995204,28.01894438040384,25.232366766656853,25.564678242834145,28.266136011527834,28.73130876461219,25.541223090494054,26.162025900969553,28.96663024745636,29.59579196829217
'63',49.2490078346233,50.39726574920417,49.09885542202304,50.68992180010585,49.317682861355344,51.18665740772191,51.13467896328158,48.36741550328119,51.07087895735631,49.47087481589894,50.04963048918122,49.25693057657812,48.854065193453046,49.87641259691298,49.979635936670924,48.92047972580944,50.86628971402262,49.261337115160195,49.13128338563133,49.74495522791099,49.901903276941965,50.006792672547874,49.855106438076916,50.492739631638415,50.02905325507268
'73',56.12719331627736,56.43709958364602,57.804914260937096,55.690024840724874,56.12747168678373,56.16816452940401,54.29931988220912,54.37235925309101,55.447690805834114,57.29426542711014,55.630288288684085,57.75293769339026,55.09686344002351,54.69646839890656,55.68520961178649,57.13956740182829,54.04914667014904,56.02314279904855,54.75191884735147,54.61344073307618,55.06205531053655,54.710201073008385,57.29532933159917,55.42256657378503,55.70908333395099
'84',27.226271852500304,25.833440826698727,25.040051881990394,26.804177272524765,25.18923001942038,25.25878096503929,24.973000871477147,22.63829248763094,22.589758824146422,25.536535909836203,26.67034069134878,23.655561640208898,24.52551180693884,26.527641140317343,23.47361560543208,22.402961751036216,23.02214482993821,24.21076638242047,22.73613250270076,25.663420154618006,25.369990479907262,24.729187903813884,23.57907397466871,27.047085561998376,24.41054405300938
'82',22.35406281178949,21.722379490762616,21.27518354906911,20.84635824692622,22.116043379188344,21.305823816620826,20.361369254624194,20.073699783150296,22.009760480605586,21.134647627414232,20.78536564103768,21.315698162488346,20.871155273445567,20.5224608657805,20.762248790180152,20.921594059298954,20.873241947465633,19.598131324687238,20.01228640468936,18.86171960331582,20.685931097446552,20.52759052022899,20.213659751068594,21.14491371768531,22.429240567346632
'13',50.19605859732585,53.04818975454084,51.13688847484585,62.2423883416307,57.722059978802996,61.448781467734996,50.64158143664135,59.31291639528323,55.58822071329606,53.35459021293178,45.903752221622526,63.34607770990801,59.76945584277454,53.06435402794883,45.14069409107733,59.18167261525042,58.03021241359642,56.4549072642344,60.744548984280314,54.188643362171405,52.92426977246724,48.48975915956178,54.35207042877765,50.79960546403238,62.58440795627968
'43',42.15868637298037,40.24222951039362,39.13137113359377,38.779691068755746,41.21477414734848,40.40766715832645,39.35942965432811,39.88717041269159,40.81755491874882,38.29900794597657,41.72910619144647,39.31648851542302,37.562770167011905,37.358168124800734,36.57677904072462,39.95621262714974,36.329103450599746,40.314920339546475,37.83045007450019,40.11272917857066,38.92401085705723,38.33229961330029,38.04287741767693,40.105434858036105,39.222914991988375
'50',60.03880173858555,58.037968194673645,59.905503620592604,62.220446760296355,60.39983588723364,56.99803161295081,62.29417888539122,59.21500523557485,59.85064368557756,57.123494794634375,58.34085486456342,58.55271747917519,60.09097170850502,59.935311429555696,59.79442026461155,58.42956986880018,60.31156667131607,57.61045530255937,59.58921780246902,58.725180257445984,60.83161592290537,60.58206738014414,57.8210773580568,57.8466872866497,61.4641881076487
'48',29.34281001622729,31.49204163351748,31.25732544121091,31.473249030993728,33.29849101260274,31.50745423484083,29.4432090374429,30.868565497651186,25.932904926418168,30.205038170493964,32.49384096133421,30.635245913715472,29.543757190054286,29.546642684844993,28.3722602012924,28.216455415079253,31.280136778809602,27.267942329472167,28.36054050130159,31.525473898368197,30.552571045089714,29.736054803186708,28.47197630120892,31.695927772015313,31.49176629080263
'47',53.842736667850616,54.272505816381724,53.45734349177996,54.268955490829725,54.18187406889829,55.12986344054732,55.123685052839406,52.49438985800062,55.85921653870619,54.785540600101875,53.51591217287232,53.01412613236701,52.79504951890867,54.184350355883836,53.87800476958631,54.21399113850854,56.731159500643784,53.87493682168243,54.6565357650975,53.06417422779578,55.357815217935375,54.443269307972564,53.187808865662014,54.78486928518793,54.55240781857429
'49',60.03880173858555,58.037968194673645,59.905503620592604,62.220446760296355,60.39983588723364,56.99803161295081,62.29417888539122,59.21500523557485,59.85064368557756,57.123494794634375,58.34085486456342,58.55271747917519,60.09097170850502,59.935311429555696,59.79442026461155,58.42956986880018,60.31156667131607,57.61045530255937,59.58921780246902,58.725180257445984,60.83161592290537,60.58206738014414,57.8210773580568,57.8466872866497,61.4641881076487
'68',33.968462442664794,36.437450883849735,35.72622519098517,35.12885841841028,37.80701913182374,37.8097836034956,34.77481845825656,35.77885949571481,31.243509284168745,34.635299800666346,38.052074088977704,35.31498271359239,34.90035940835629,34.12005998684313,32.18156025247438,34.527454869295575,35.6632501110173,33.1306375667232,32.89083285954587,35.01453154892984,35.49788847371457,34.286438156918,33.35833233721328,36.32385574139627,33.0335993536646
'60',47.80725693179658,48.240620155970454,45.86708655606407,49.94909362524087,49.42937372462944,45.39626510505956,49.90173474433301,48.2410593518751,47.66550909174998,48.75301212588162,46.93151615152657,46.60592682755948,47.30696829515486,48.119978342502726,48.51674433410191,47.52211200204342,47.88083705577884,46.53911352421013,48.59784661939706,47.39971755408071,48.38578247015749,48.40178905427091,46.21096787254428,46.58154773394787,50.75501684243286
